,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
87,Ethiopia,470389,37,7510,0,454163,492,8716,15,3917,63,4756760,39611,120085619,Africa,0.007865830195859172,0.0,0.10833114982946651
88,Mongolia,469491,41,2177,0,313256,0,154058,192,139179,645,4030048,1194697,3373280,Asia,0.008732861758798357,0.0,0.0
89,Cyprus,464366,0,993,0,124370,0,339003,60,379639,812,9477138,7747969,1223177,Asia,0.0,0.0,0.0
90,Armenia,422805,6,8622,0,410517,14,3666,0,142205,2900,3026628,1017966,2973211,Asia,0.0014190939085393975,0.0,0.003410333798600302
91,Honduras,422275,0,10892,0,131100,0,280283,105,41448,1069,1263329,124001,10188052,North America,0.0,0.0,0.0
92,Oman,388995,39,4257,0,384055,26,683,2,72842,797,25000000,4681452,5340223,Asia,0.010025835807658196,0.0,0.0067698636913983675
93,Bosnia and Herzegovina,376642,75,15753,0,192218,0,168671,0,116101,4856,1751774,539988,3244098,Europe,0.019912808449402884,0.0,0.0
94,Réunion,374295,0,742,0,355605,0,17948,10,412760,818,1603660,1768461,906811,Africa,0.0,0.0,0.0
95,Qatar,363905,77,677,0,362338,106,890,1,129605,241,3424254,1219548,2807805,Asia,0.02115936851650843,0.0,0.029254453024524063
96,Kenya,323646,0,5649,0,317882,0,115,0,5790,101,3573937,63932,55901949,Africa,0.0,0.0,0.0
97,Zambia,318984,124,3974,1,314075,209,935,0,16519,206,3408441,176513,19309901,Africa,0.038873423118400925,0.025163563160543533,0.06654461513969592
98,North Macedonia,308964,86,9266,1,298916,105,782,0,148311,4448,2003269,961621,2083220,Europe,0.0278349581180979,0.010792143319663284,0.035126925290048044
99,Botswana,305859,0,2688,0,303026,0,145,1,125504,1103,2026898,831702,2437048,Africa,0.0,0.0,0.0
100,Albania,274606,0,3496,0,270789,0,321,2,95610,1217,1795792,625245,2872142,Europe,0.0,0.0,0.0
101,Algeria,265754,8,6874,0,178341,4,80539,6,5870,152,230861,5099,45275692,Africa,0.0030103027612002078,0.0,0.002242894230715315
102,Nigeria,255679,9,3143,0,249886,12,2650,11,1187,15,5036813,23391,215329384,Africa,0.00352003879864987,0.0,0.0048021897985481374
103,Zimbabwe,247383,47,5467,1,241170,10,746,12,16219,358,2234565,146507,15252247,Africa,0.01899888027875804,0.018291567587342236,0.004146452709706846
104,Uzbekistan,238391,34,1637,0,236397,45,357,23,6942,48,1377915,40123,34342021,Asia,0.014262283391570992,0.0,0.019035774565667078
105,Montenegro,234472,67,2711,1,231146,70,615,6,373239,4315,2442943,3888742,628209,Europe,0.02857484049268143,0.03688675765400221,0.03028388983586132
106,Luxembourg,233137,1468,1056,0,220258,1507,11823,1,361844,1639,4211394,6536366,644302,Europe,0.629672681727911,0.0,0.6841976227878216
107,Mozambique,225351,6,2201,0,223088,0,62,13,6864,67,1308458,39855,32830285,Africa,0.002662513146158659,0.0,0.0
108,Laos,203518,976,730,0,7660,0,195128,0,27261,98,1232128,165042,7465532,Asia,0.4795644611287454,0.0,0.0
109,Kyrgyzstan,200983,1,2991,0,196360,9,1632,131,29918,445,1907195,283899,6717867,Asia,0.0004975545195364782,0.0,0.00458341821144836
110,Iceland,183974,0,112,0,75685,0,108177,1,532904,324,1953616,5658899,345229,Europe,0.0,0.0,0.0
111,Maldives,178883,0,298,0,163687,0,14898,25,320767,534,2213831,3969765,557673,Asia,0.0,0.0,0.0
112,Afghanistan,178611,56,7680,1,161683,18,9248,1124,4410,190,938557,23171,40505408,Asia,0.03135305216364054,0.013020833333333334,0.011132895851759307
113,Uganda,164069,0,3596,0,100205,0,60268,2,3394,74,2612795,54052,48338607,Africa,0.0,0.0,0.0
114,El Salvador,162089,0,4127,1,150662,0,7300,8,24765,631,1950448,298001,6545106,North America,0.0,0.0242306760358614,0.0
115,Ghana,161124,7,1445,0,159655,11,24,1,4998,45,2433244,75473,32239775,Africa,0.004344480027804672,0.0,0.006889856252544548
116,Namibia,158112,0,4022,0,153662,0,428,0,60263,1533,997168,380062,2623695,Africa,0.0,0.0,0.0
117,Martinique,147519,0,918,0,104,0,146497,8,393656,2450,828928,2212002,374741,North America,0.0,0.0,0.0
118,Trinidad and Tobago,143465,546,3808,1,133138,584,6519,18,101919,2705,693892,492946,1407644,North America,0.3805806294218102,0.026260504201680673,0.4386426114257387
